,html_url,name,functionality,core functionality,frameworks (others than JUCE),testing,language,SonarQube violations (SCP),"SonarQube quality gate status (passed,failed)",Header files,Compiled library files,Header files or compiled library files,Libraries,Comments,Issues type,Did the developers resolved the issue via a simple commit and push?,Did the developers resolved the issue via a PR?,Did the developers answered the issue?
646,https://github.com/LeifBloomquist/MIDIMapperX,MIDIMapperX,effect  - midi mapper ,effect ,,No,C#,,Passed,Yes,No,Header files,"System, Jacobi",Yes,"enahncement, bug, question",Yes,No,Yes
647,https://github.com/olilarkin/iPlug2OnnxRuntime,iPlug2OnnxRuntime,effect - gain,effect,iPlug2,No,Python,Security Review E,Passed,No,No,,"fileinput, glob, string, sys, os, re, uuid, pprint, random, os, shutil",Yes,,No,No,No
648,https://github.com/lucianoiam/castello,castello,effect - reverb,effect,dpf,No,C,,Passed,Yes,No,Header files,,No,bug,No,Yes,Yes
649,https://github.com/monomadic/dd-plugs,dd-plugs,virtual instrument and effect,virtual instrument,,No,Rust,,Passed,No,No,,"vst2, simplelog, dd_dsp",No,,No,No,No
650,https://github.com/ddf/SpectralHarp,SpectralHarp,virtual instrument - harp,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
651,https://github.com/sunquan8094/overtonix,overtonix,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
652,https://github.com/ddf/evaluator,evaluator,virtual instrument - sampler,virtual instrument,VST SDK,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
654,https://github.com/leomccormack/CroPaC-Binaural,CroPaC-Binaural,effect - decoder,effect,Spatial Audio Framework,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
655,https://github.com/igorski/rechoir,rechoir,effect  - delay,effect ,,Yes,C++,,Passed,Yes,No,Header files,,Yes,question,No,No,Yes
658,https://github.com/YPares/arpligner,arpligner,effect  - arpegiator,effect ,,Yes,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,"question, bug, enhancement",No,Yes,Yes
661,https://github.com/AlexW00/clockwork,clockwork,effect - MIDI note repeater,effect,,No,Rust,,Passed,No,No,,"nih_plug_egui, std, nih_plug",No,question,No,No,Yes
662,https://github.com/unevens/Overdraw,Overdraw,effect,effect,,Yes,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,,No,No,No
668,https://github.com/VirtualRaven/KandVST,KandVST,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,Yes,Both,,No,bug,No,Yes,No
669,https://github.com/lukemcraig/OvertoneFilter,OvertoneFilter,effect,effect,,No,C++,"Security Review E, 9.9% duplications",Failed,Yes,No,Header files,,No,question,No,No,No
672,https://github.com/fake-industries/fuzzball,fuzzball,effect  - fuzz,effect ,,No,Rust,,Passed,No,No,,"vst, std",No,question,No,No,Yes
673,https://github.com/lukemcraig/PathSynth,PathSynth,virtual instrument - synthesizer,virtual instrument,,No,C++,1.4% duplications,Failed,Yes,No,Header files,,No,question,No,No,No
675,https://github.com/hotwatermorning/wahwth,wahwth,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
676,https://github.com/LibreArp/LibreArp,LibreArp,virtual instrument - sampler,virtual instrument,,No,C++,"Reliability B, Security Review E, 0.3% duplications",Passed,Yes,No,Header files,,No,,No,No,No
681,https://github.com/JohT/speclet,speclet,effect - analyzer,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
682,https://github.com/valsteen/note_effects_vst,note_effects_vst,effect,effect,,No,Rust,,Passed,No,No,,"vst, std",No,,No,No,No
683,https://github.com/p-hlp/SMPLComp,SMPLComp,effect - compressor,effect,,No,C++,suspicious use of empty methods,Failed,Yes,No,Header files,,No,,No,No,No
686,https://github.com/davemollen/dm-GrainDelay,dm-GrainDelay,effect - delay,effect,,No,CSS,Security Review E,Passed,No,No,,,No,question,No,No,Yes
692,https://github.com/vertver/Dynation,Dynation,effect,effect,,No,C,,Passed,Yes,No,Header files,,No,question,No,No,Yes
729,https://github.com/JamesStubbsEng/TS-808-Ultra,TS-808-Ultra,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,bug,No,No,No
785,https://github.com/nberr/jackel,jackel,effect - MIDI note translator,effect,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
800,https://github.com/BLumia/PineappleSynth,PineappleSynth,virtual instrument - synthesizer,virtual instrument,WDL-OL,Yes,C++,,Passed,Yes,No,Header files,,Yes,enhancement,No,No,No
802,https://github.com/canokaue/azr3-mac,azr3-mac,virtual instrument - organ,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
917,https://github.com/publicsamples/Peach,Peach,virtual instrument - synthesizer,virtual instrument,,No,JavaScript,,Passed,No,No,,,No,,No,No,No
928,https://github.com/gamingrobot/daw-out,daw-out,effect,effect,,No,Rust,,Passed,No,No,,"anyhow, crossbeam_channel, nih_plug, parking_lot, rosc, rubato, std",No,,No,No,No
929,https://github.com/jcfischer/easylooper,easylooper,effect - looper,effect,,Yes,Rust,,Passed,No,No,,"simplelog, num_traits, asprim, std, app_dirs, vst, easyvst, looper_fsm, looper_fsm, tinyui,  recording_buffer, std, version",No,,No,No,No
930,https://github.com/POTR-Soft/Chord-Filter,Chord-Filter,effect - filter,effect,,Yes,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,,No,No,No
934,https://github.com/david6983/saxaboom,saxaboom,virtual instrument - sampler,virtual instrument,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,enhancement,No,No,No
938,https://github.com/TobiasKozel/transmitter,transmitter,effect,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
941,https://github.com/davemollen/dm-Reverse,dm-Reverse,effect - reverse delay,effect,,No,CSS,Security Review E,Passed,Yes,No,Header files,,No,,No,No,No
944,https://github.com/00laboratories/HISE-AG-20,HISE-AG-20,virtual instrument - guitar,virtual instrument,,No,JavaScript,,Passed,No,No,,,No,question,No,No,Yes
950,https://github.com/imchristina/piano,piano,virtual instrument - piano,virtual instrument,,Yes,Lua,,Passed,No,No,,"vst, hybrid_string",No,question,No,No,Yes
951,https://github.com/jthorborg/signalizer,signalizer,effect - visualizator,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
952,https://github.com/TaleTN/IPlugExample,IPlugExample,effect - tremolo,effect,iPlug Tale Edition,No,Makefile,,Passed,Yes,Yes,Both,,Yes,,No,No,No
954,https://github.com/TheTechnobear/SSP,SSP,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
957,https://github.com/DropSnorz/wobbleizer,wobbleizer,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
962,https://github.com/safiire/kitty_synth_vst,kitty_synth_vst,virtual instrument - synthesizer,virtual instrument,,No,C,,Passed,Yes,No,Header files,,Yes,,No,No,No
965,https://github.com/vocalodon/VocalodonVST,VocalodonVST,effect ,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
967,https://github.com/Flixor/IRBaboon,IRBaboon,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
968,https://github.com/HarrisonBubbles/OasisAudioPlugin,OasisAudioPlugin,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
969,https://github.com/KottV/SimpleSide,SimpleSide,effect - volume LFO,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
970,https://github.com/lukemcraig/farkle,farkle,"effect - ""Farkle"" effect",effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
972,https://github.com/rickgiantsteps/bucket-brigade,bucket-brigade,effect - delay bridge,effect,,No,C++,"0.7% duplications, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,,No,No,No
973,https://github.com/Uberton/Uberton,Uberton,effect,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
978,https://github.com/ChromaticIsobar/HyperTremolo,HyperTremolo,effect - tremolo ,effect,,No,C++,1.6% duplications,Passed,Yes,No,Header files,,No,,No,No,No
982,https://github.com/sunquan8094/Krush3x,Krush3x,effect - chrusher,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
984,https://github.com/sabeiro/McAmp,McAmp,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,"matplotlib, numpy, pylab, wave, array, scipy",No,,No,No,No
985,https://github.com/osam-cologne/stereogain,stereogain,effect - gain,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
994,https://github.com/EmilianStankov/rvst,rvst,effect,effect,,No,Rust,,Passed,No,No,,"vst, oscillator, waves, note",No,,No,No,No
1000,https://github.com/krmnn/MIDIVelocityZone,MIDIVelocityZone,effect - MIDI keys velocity ,effect,,Yes,C++,93.1% duplications,Failed,Yes,No,Header files,,No,,No,No,No
1003,https://github.com/johncollinson2001/multifuzz,multifuzz,effect - multi-band distortion,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1004,https://github.com/RBLG/Grapher,Grapher,virtual instrument - synthesizer,virtual instrument,,No,C#,,Passed,No,No,,"GrapherVST, Jacobi, Microsoft, System",Yes,,No,No,No
1005,https://github.com/rm8x/myowah,myowah,effect - wahwah,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1006,https://github.com/morukutsu/ParisHarmony,ParisHarmony,virtual instrument - chords generator,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1014,https://github.com/wolf-plugins/wolf-lfo,wolf-lfo,effect - LFO,effect,,No,C++,Maintainability B,Passed,Yes,No,Header files,,No,,No,No,No
1015,https://github.com/miladnia/KeysVST,KeysVST,virtual instrument - piano,virtual instrument,,No,JavaScript,Reliability C,Passed,No,No,,,Yes,,No,No,No
1019,https://github.com/surge-synthesizer/surge,surge,virtual instrument - synthesizer,virtual instrument,,Yes,C,,Passed,Yes,No,Header files,,Yes,"enhancement, feature request, bug, question",No,Yes,Yes
1025,https://github.com/jatinchowdhury18/AnalogTapeModel,AnalogTapeModel,effect - tape,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,"bug, question",No,Yes,Yes
1037,https://github.com/Chowdhury-DSP/ChowMatrix,ChowMatrix,effect - delay,effect,,No,C++,"Security Review E, 1.2% duplications",Passed,Yes,No,Header files,,No,,No,No,No
1038,https://github.com/vvvar/PeakEater,PeakEater,effect - wave shapper,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1041,https://github.com/JanosGit/Schrammel_OJD,Schrammel_OJD,effect - overdrive,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1047,https://github.com/utokusa/OS-251,OS-251,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,request,No,Yes,Yes
1056,https://github.com/hollance/mda-plugins-juce,mda-plugins-juce,"effect - overdrive, delay, degrade, ringmod",effect,,Yes,C,,Passed,Yes,Yes,Both,,No,,No,No,No
1068,https://github.com/tobanteAudio/modEQ,modEQ,effect - eq,effect,,Yes,C++,Maintainability B,Passed,Yes,No,Header files,,No,,No,No,No
1074,https://github.com/khrykin/BlackBird,BlackBird,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1075,https://github.com/vgorloff/VST3NetSend,VST3NetSend,effect ,effect,,Yes,Swift,"Reliability D, Security Review E",Passed,No,No,,"child_process,  path, gulp, fs, os, url, plist, glob",No,,No,No,No
1079,https://github.com/szkkng/jr-granular,jr-granular,effect,effect,,No,Max,,Passed,Yes,No,Header files,,No,,No,No,No
1081,https://github.com/robbert-vdh/diopser,diopser,effect - rotation,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1082,https://github.com/SmEgDm/equalize_it,equalize_it,effect - eq,effect,,No,C++,Reliability D,Passed,Yes,No,Header files,,No,,No,No,No
1092,https://github.com/prof-spock/SoX-Plugins,SoX-Plugins,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1104,https://github.com/stfufane/Midi-Transposer,Midi-Transposer,effect - MIDI bass ,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1107,https://github.com/blackboxdsp/rotor,rotor,effect - ring modulation,effect,,No,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
1108,https://github.com/elk-audio/mda-vst3,mda-vst3,effect,effect,,No,C,,Passed,Yes,No,Header files,,No,,No,No,No
1113,https://github.com/fukuroder/BLIT-based_sinewave_hardsync,BLIT-based_sinewave_hardsync,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1114,https://github.com/blackboxdsp/phantom,phantom,virtual instrument - synthesizer,virtual instrument,,No,C++,Reliability B,Passed,Yes,No,Header files,,Yes,,No,No,No
1115,https://github.com/sfztools/sfizz-ui,sfizz-ui,virtual instrument - sampler,virtual instrument,,No,C,,Passed,Yes,No,Header files,,No,"bug, question",No,Yes,Yes
1117,https://github.com/werman/noise-suppression-for-voice,noise-suppression-for-voice,effect - noise suppresion,effect,,Yes,C,,Passed,Yes,No,Header files,,No,question,No,No,Yes
1118,https://github.com/DISTRHO/Cardinal,Cardinal,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,"enhancement, bug, question",No,Yes,Yes
1123,https://github.com/jerryuhoo/Fire,Fire,effect - distortion,effect,,Yes,C++,"Reliability C, 6.7% duplications",Passed,Yes,No,Header files,,No,"bug, question",No,No,No
1124,https://github.com/hzdgopher/64klang,64klang,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,question,No,No,No
1125,https://github.com/hzdgopher/4klang,4klang,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,Yes,Both,,No,"question, enhancement",No,No,No
1129,https://github.com/mzuther/Squeezer,Squeezer,effect - compressor,effect,,Yes,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1130,https://github.com/mzuther/K-Meter,K-Meter,effect - loudness,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1136,https://github.com/Chowdhury-DSP/CHOW,CHOW,effect - distortion,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,,No,No,No
1137,https://github.com/s-oram/Grace,Grace,virtual instrument - sampler,virtual instrument,,Yes,Pascal,"Reliability E, Maintainability C, Security Review E, Duplication 0.8% ",Failed,No,No,,,No,,No,No,No
1140,https://github.com/TobiasKozel/GuitarD,GuitarD,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1141,https://github.com/jpcima/string-machine,string-machine,virtual instrument - strings,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,question,No,No,Yes
1145,https://github.com/jpcima/HybridReverb2,HybridReverb2,effect - reverb,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1146,https://github.com/klknn/synth2,synth2,virtual instrument - synthesizer,virtual instrument,,Yes,D,Quality gate passed ,Passed,No,No,,"dplug, synth2, mir, core",No,,No,No,No
1151,https://github.com/mzuther/traKmeter,traKmeter,effect - loudness,effect,,No,C++,,Passed,Yes,No,Header files,,Yes,,No,No,No
1154,https://github.com/KaixoCode/CMBNEX,CMBNEX,virtual instrument - synthesizer,virtual instrument,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1159,https://github.com/leomccormack/HO-SIRR-GUI,HO-SIRR-GUI,effect,effect,,No,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
1172,https://github.com/SpotlightKid/dfzitarev1,dfzitarev1,effect - reverb,effect,,No,C++,Maintainability C,Passed,Yes,No,Header files,,No,,No,No,No
1173,https://github.com/SpotlightKid/stereocrossdelay,stereocrossdelay,effect - delay,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1180,https://github.com/killbizz/Biztortion,Biztortion,effect - distortion,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1184,https://github.com/SpotlightKid/sendmixer,sendmixer,effect - master,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1186,https://github.com/lukemcraig/MusicalRingMod,MusicalRingMod,effect ,effect,,No,C++,leak,Failed,Yes,No,Header files,,No,,No,No,No
1187,https://github.com/ABSounds/Harpejji-VST,Harpejji-VST,virtual instrument - strings,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1189,https://github.com/SpotlightKid/transportgate,transportgate,effect - gate,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1192,https://github.com/kcuric/kodiak,kodiak,effect - distortion,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,,No,No,No
1197,https://github.com/YeshiNamkhai/mioSynth,mioSynth,virtual instrument - synthesizer,virtual instrument,,No,HTML,Reliability E,Passed,No,No,,,No,,No,No,No
1198,https://github.com/WrongPeople/JustRepeat,JustRepeat,effect - repeater,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1199,https://github.com/almostdefinitelycode/DCOffsetter,DCOffsetter,effect - offset,effect,,No,C++,Maintainability B,Passed,Yes,No,Header files,,No,,No,No,No
1203,https://github.com/GrieferPig/zippify,zippify,effect - distortion and clipper,effect,,No,Rust,,Passed,No,No,,"raw_window_handle, std, vst",No,,No,No,No
1204,https://github.com/maxklint/patch-discord,patch-discord,effect - MIDI eraser,effect,,Yes,Csound Document,,Passed,Yes,No,Header files,,No,,No,No,No
1206,https://github.com/johnfmcrae/NoiseGenerator,NoiseGenerator,virtual instrument - noise generator,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1210,https://github.com/TobiasKozel/rektifier,rektifier,effect - distortion,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1219,https://github.com/ntomassetti/DesuMateVST,DesuMateVST,effect - decimator,effect,,No,C++,"brain-overload, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,,No,No,No
1221,https://github.com/Janislav/Pluto,Pluto,virtual instrument - synthesizer,virtual instrument,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1222,https://github.com/alexyer/digidist,digidist,effect - distortion,effect,,No,Rust,,Passed,No,No,,vst,No,,No,No,No
1227,https://github.com/chrigervi/Orpheus,Orpheus,effect,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1228,https://github.com/blaketeres/Boomerang-Delay-Plugin-VST-AU-,Boomerang-Delay-Plugin-VST-AU-,effect,effect,,No,C++,Reliability B,Passed,Yes,No,Header files,,No,,No,No,No
1231,https://github.com/uchidama/SimpleSynthEx,SimpleSynthEx,effect - MIDI synthesizer plugin,effect,,No,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1244,https://github.com/uchidama/WhiteNoiseSynthPluginEx,WhiteNoiseSynthPluginEx,effect - MIDI synthesizer plugin,effect,,No,C++,Maintainability B,Passed,Yes,No,Header files,,No,,No,No,No
1245,https://github.com/hectorbennett/hecto-drive,hecto-drive,effect - distortion,effect,nig-plug,No,TypeScript,,Passed,No,No,,"audio_setup, buffer, context, editor, formatters, midi, nih_debug_assert_eq, plugin, prelude, util, wrapper, serde, nih_plug_webview, std, serde_json",No,,No,No,No
1246,https://github.com/Kareus/ABit,ABit,virtual instrument,virtual instrument,,Yes,C++,Maintainability B,Passed,Yes,No,Header files,,Yes,,No,No,No
1247,https://github.com/notwa/crap,crap,effect,effect,,Yes,C++,,Passed,Yes,No,Header files,,No,,No,No,No
1249,https://github.com/JosephTLyons/Track-Notes-1,Track-Notes-1,effect,effect,,Yes,C++,"bad-practice, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,,No,No,No
1252,https://github.com/konstice/SignatureLine,SignatureLine,effect  - distortion,effect ,,No,C++,"Reliability D, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,,No,No,No
1255,https://github.com/defrankland/VstAudioEqMeter,VstAudioEqMeter,effect,effect,,No,Java,,Passed,No,No,,"awt, swing, wrapper, util",Yes,,No,No,No
1266,https://github.com/brayschurman/venue,venue,effect,effect,,No,Rust,,Passed,No,No,,vst,No,,No,No,No
1269,https://github.com/Lolitron-0/Kaoss-emul,Kaoss-emul,effect,effect,,Yes,C++,Maintainability C,Passed,Yes,No,Header files,,No,,No,No,No
1277,https://github.com/crowbait/GnomeDistort,GnomeDistort,effect - distortion,effect,,Yes,C++,"Reliability C, Maintainability B, cppcorectguideliness violated",Failed,Yes,No,Header files,,No,,No,No,No
1285,https://github.com/haszari/PhraseSyncPlugins,PhraseSyncPlugins,effect,effect,,No,C++,,Passed,Yes,Yes,Both,,No,,No,No,No
1286,https://github.com/scriptorum/SMBigSkin,SMBigSkin,virtual instrument - synthesizer,virtual instrument,,Yes,JavaScript,Security Review E,Passed,No,No,,,Yes,,No,No,No
1297,https://github.com/dsp-re/suzirya,suzirya,effect - reverb,effect,,No,C++,cppcorectguideliness violated,Failed,Yes,No,Header files,,No,,No,No,No
1312,https://github.com/WeirdConstructor/HexoSynth,HexoSynth,virtual instrument - synthesizer,virtual instrument,,Yes,Rust,,Passed,No,No,,"wlambda, hexotk, open_window, ext_param_model, std",No,,No,No,No
1345,https://github.com/demberto/fxp,fxp,effect - parser,effect,,Yes,Python,,Passed,No,No,,"enum, os, construct ",Yes,,No,No,No
1346,https://github.com/defuse/vst_plugin,vst_plugin,effect,effect,,No,Rust,,Passed,No,No,,"vst, std",No,,No,No,No
1349,https://github.com/tomto66/Topiary-Riffz,Topiary-Riffz,effect,effect,,Yes,C++,Realiability C,Passed,Yes,No,Header files,,No,,No,No,No
1404,https://github.com/strikles/UQLRF-500,UQLRF-500,effect,effect,,No,Rust,,Passed,No,No,,"vst, karplus, std",No,,No,No,No
1405,https://github.com/pfeeyatko/simple-eq,simple-eq,effect - eq,effect,,No,C++,"Reliability B, Maintainability B",Passed,Yes,No,Header files,,No,,No,No,No
